G519	Non-significant (study details, 6 variants)	American (Caucasian), French	2 genes	multiple	Geesaman et al. (2003)
G487	Significant (study details, 2 variants)	Chinese (Guangxi Bama)	mt146T		Yang et al. (2012)
G501	Non-significant (study details, 38 variants)	Italian (Southern)	16 genes	multiple	Campa et al. (2012)
G483	Non-significant (study details, 16 variants)	American (Caucasian)	8 genes	multiple	Lunetta et al. (2007)
G511	Non-significant (study details, 41 variants)	American, English, Irish	22 genes	multiple	Shi et al. (2012)
G481	(study details, 8 variants)	American (Caucasian)	rs10493513		Lunetta et al. (2007)
G550	Non-significant (study details, 31 variants)	Italian	3 genes	multiple	Gravina et al. (2009)
G486	Non-significant (study details, 32 variants)	Germany, Italian, Chinese (Han)	3 genes	multiple	Kleindorp et al. (2011)
G435	Non-significant (study details, 287 variants)	Caucasians	58 genes	multiple	Newman et al. (2010)
G482	Non-significant (study details, 9 variants)	American (Caucasian)	4 genes	multiple	Lunetta et al. (2007)
94	Non-significant (study details)	Japanese	ABCA1	9q31.1	Arai et al. (2003)
316	Significant (study details)	American (Caucasian)	ABCC4	13q32.1	Yashin et al. (2012)
63	Non-significant (study details)	Danish	ACE	17q23.3	Tan et al. (2001)
45	Non-significant (study details)	Dutch	ACE	17q23.3	Heijmans et al. (1999)
13	Significant (study details)	English (Cambridge)	ACE	17q23.3	Galinsky et al. (1997)
228	Non-significant (study details)	Italian	ACE	17q23.3	Nacmias et al. (2007)
123	Non-significant (study details)	Italian, French and Danish	ACE	17q23.3	Panza et al. (2003)
18	Non-significant (study details)	Danish	ACE	17q23.3	Agerholm-Larsen et al. (1997)
288	Significant (study details)	Chinese	ACE	17q23.3	Woo et al. (2012)
78	Significant (study details)	Chinese (Uighur, Kazakh and Han in Xinjiang)	ACE	17q23.3	Rahmutula et al. (2002)
37	Non-significant (study details)	Danish	ACE	17q23.3	Bladbjerg et al. (1999)
28	Significant (study details)	French	ACE	17q23.3	Faure-Delanef et al. (1998)
G475	Non-significant (study details, 68 variants)	Danish, German, Dutch	12 genes	multiple	Soerensen et al. (2013)
225	Significant (study details)	Columbian	ACE	17q23.3	Forero et al. (2006)
6	Significant (study details)	French	ACE	17q23.3	Schächter et al. (1994)
253	Significant (study details)	Greek	ACE	17q23.3	Kolovou et al. (2014)
162	Significant (study details)	Chinese (Uighur in Xinjiang)	ACE	17q23.3	Wufuer et al. (2004)
130	Significant (study details)	Russian (Novosibirsk)	ACE	17q23.3	Shabalin et al. (2003)
98	Non-significant (study details)	Korean	ACE	17q23.3	Choi et al. (2003)
126	Significant (study details)	Brazilian of European and Japanese origin	ACE	17q23.3	Da Cruz et al. (2003)
222	Significant (study details)	Italian (Southern)	ACE	17q23.3	Seripa et al. (2006)
62	Non-significant (study details)	American (Caucasian)	ACE	17q23.3	Hessner et al. (2001)
85	Non-significant (study details)	Polish	ACE	17q23.3	Grzeszczak and Misztalski (2002)
53	Non-significant (study details)	French	ACE	17q23.3	Blanché et al. (2001)
90	Significant (study details)	Danish	ACE	17q23.3	Frederiksen et al. (2003)
340	Non-significant (study details)	Spanish	ACTN3	11q13.2	Fiuza-Luces et al. (2011)
283	Significant (study details)	Italian (Central)	ADA	20q13.12	Napolioni et al. (2011)
G471	Significant (study details, 3 variants)	Italian (Central)	2 genes	multiple	Napolioni et al. (2011)
240	Significant (study details)	Italian	ADA2	22q11.1	Napolioni and Lucarini (2010)
G432	Significant (study details, 5 variants)	Italian, Ashkenazi Jewish and Japanese	ADARB1	21q22.3	Sebastiani et al. (2009)
G433	Significant (study details, 13 variants)	Italian, Ashkenazi Jewish and Japanese	ADARB2	10p15.3	Sebastiani et al. (2009)
G473	Non-significant (study details, 14 variants)	Chinese	4 genes	multiple	Zhao et al. (2012)
242	Significant (study details)	Jordanian	ADIPOQ	3q27.3	Khabour et al. (2010)
G423	Non-significant (study details, 3 variants)	Ashkenazi Jewish	ADIPOQ	3q27.3	Atzmon et al. (2008)
G443	Non-significant (study details, 12 variants)	American of Japanese origin	4 genes	multiple	Willcox et al. (2008)
G549	Non-significant (study details, 2 variants)	Jordanian	ADIPOQ	3q27.3	Khabour et al. (2010)
281	Significant (study details)	Polish	ADIPOQ	3q27.3	Roszkowska-Gancarz et al. (2012)
321	Non-significant (study details)	American (Caucasian)	ADRB2	5q32	Kulminski et al. (2010)
G472	Significant (study details, 2 variants)	Chinese	ADRB2	5q32	Zhao et al. (2012)
3473	Significant (study details)	American (Caucasian)	ADRB2	5q32	Kulminski et al. (2010)
G425	Significant (study details, 16 variants)	German	2 genes	multiple	Flachsbart et al. (2009)
382	Significant (study details)	Caucasian	AGER	6p21.32	Falcone et al. (2013)
36	Non-significant (study details)	Danish	AGT	1q42.2	Bladbjerg et al. (1999)
64	Significant (study details)	Danish	AGT	1q42.2	Tan et al. (2001)
G497	Significant (study details, 2 variants)	Italian (Northern) and Japanese	AGTR1	3q24	Benigni et al. (2013)
G498	Non-significant (study details, 8 variants)	Italian (Northern) and Japanese	2 genes	multiple	Benigni et al. (2013)
100	Significant (study details)	American (Caucasian)	AKAP10	17p11.2	Kammerer et al. (2003)
255	Significant (study details)	American (Caucasian)	AKT1	14q32.33	Pawlikowska et al. (2009)
G474	Non-significant (study details, 5 variants)	Danish, German	AKT1	14q32.33	Nygaard et al. (2013)
G457	Significant (study details, 10 variants)	Dutch	10 genes	multiple	Deelen et al. (2013)
289	Significant (study details)	Danish, German	AKT1	14q32.33	Nygaard et al. (2013)
G492	Non-significant (study details, 11 variants)	Korean	10 genes	multiple	Park et al. (2009)
91	Significant (study details)	Italian (Southern)	APOA1	11q23.3	Garasto et al. (2003)
3462	Significant (study details)	Italian	APOA4	11q23.3	Pepe et al. (1998)
92	Non-significant (study details)	Italian (Southern)	APOA4	11q23.3	Garasto et al. (2003)
24	Non-significant (study details)	French	APOA4	11q23.3	Merched et al. (1998)
10	Significant (study details)	Italian	APOB	2p24.1	De Benedictis et al. (1997)
2	Non-significant (study details)	Finnish	APOB	2p24.1	Louhija et al. (1994)
7	Significant (study details)	Finnish	APOB	2p24.1	Kervinen et al. (1994)
279	Significant (study details)	European	APOC1	19q13.32	Beekman et al. (2013)
386	Significant (study details)	European	APOC1	19q13.32	Deelen et al. (2014)
12	Significant (study details)	English (Cambridge)	APOC1	19q13.32	Galinsky et al. (1997)
G450	Significant (study details, 2 variants)	German	2 genes	multiple	Nebel et al. (2011)
4	Significant (study details)	Finnish	APOC3	11q23.3	Louhija et al. (1994)
52	Significant (study details)	Russian	APOC3	11q23.3	Anisimov et al. (2001)
89	Non-significant (study details)	Italian (Southern)	APOC3	11q23.3	Garasto et al. (2003)
213	Significant (study details)	Ashkenazi Jewish	APOC3	11q23.3	Atzmon et al. (2006)
374	Significant (study details)	Chinese (Han)	APOE	19q13.32	Jian-Gang et al. (1998)
86	Non-significant (study details)	Brazilian	APOE	19q13.32	Schwanke et al. (2002)
68	Significant (study details)	Chinese (Uighur in Xinjiang)	APOE	19q13.32	Wang et al. (2001)
9	Significant (study details)	Swedish	APOE	19q13.32	Eggertsen et al. (1993)
224	Significant (study details)	Italian (Southern)	APOE	19q13.32	Seripa et al. (2006)
55	Significant (study details)	French	APOE	19q13.32	Blanché et al. (2001)
14	Non-significant (study details)	English (Cambridge)	APOE	19q13.32	Galinsky et al. (1997)
5	Significant (study details)	Finnish	APOE	19q13.32	Louhija et al. (1994)
229	Significant (study details)	Greek	APOE	19q13.32	Stakias et al. (2006)
51	Significant (study details)	Finnish	APOE	19q13.32	Frisoni et al. (2001)
248	Significant (study details)	American (Georgia and Louisiana populations from African and European origin)	APOE	19q13.32	Jazwinski et al. (2010)
G480	Significant (study details, 2 variants)	European and American (Caucasian)	APOE	19q13.32	McKay et al. (2011)
G438	Significant (study details, 3 variants)	American (Georgia and Louisiana populations from African and European origin)	3 genes	multiple	Jazwinski et al. (2010)
3476	Significant (study details)	French	APOE	19q13.32	Schächter et al. (1994)
G476	Significant (study details, 3 variants)	Danish, German, Dutch	APOE	19q13.32	Soerensen et al. (2013)
171	Non-significant (study details)	Ashkenazi Jewish (Jerusalem)	APOE	19q13.32	Stessman et al. (2005)
11	Non-significant (study details)	Italian	APOE	19q13.32	Ruiu et al. (1995)
G454	Significant (study details, 2 variants)	Danish	APOE	19q13.32	Lindahl-Jacobsen et al. (2013)
190	Significant (study details)	Chinese (Uighur in Xinjiang)	APOE	19q13.32	Mayila et al. (2005)
373	Significant (study details)	Irish (Belfast)	APOE	19q13.32	Rea et al. (2001)
131	Significant (study details)	Russian (Novosibirsk)	APOE	19q13.32	Shabalin et al. (2003)
99	Non-significant (study details)	Korean	APOE	19q13.32	Choi et al. (2003)
227	Non-significant (study details)	Columbian	APOE	19q13.32	Forero et al. (2006)
328	Significant (study details)	Italian	APOE	19q13.32	Malovini et al. (2011)
8	Significant (study details)	Finnish	APOE	19q13.32	Kervinen et al. (1994)
G451	Non-significant (study details, 16 variants)	German	7 genes	multiple	Nebel et al. (2011)
G464	Non-significant (study details, 8 variants)	European	8 genes	multiple	Walter et al. (2011)
357	Significant (study details)	Italian	ATM	11q22.3	Piaceri et al. (2013)
323	Significant (study details)	Chinese (Han)	ATM	11q22.3	Chen et al. (2010)
G459	Non-significant (study details, 57 variants)	Dutch	21 genes	multiple	Deelen et al. (2011)
348	Significant (study details)	Japanese	ATP8	MT	Tanaka et al. (1998)
297	Significant (study details)	American (Caucasian)	ATRIP	3p21.31	Yashin et al. (2012)
77	Non-significant (study details)	American (Caucasians) and Italian	BRCA1	17q21.31	Vijg et al. (2001)
308	Significant (study details)	American (Caucasian)	BTBD9	6p21.2	Yashin et al. (2012)
33	Non-significant (study details)	Italian	C3	19p13.3	Bellavia et al. (1999)
35	Non-significant (study details)	Italian	C4A	6p21.33	Bellavia et al. (1999)
302	Significant (study details)	American (Caucasian)	C7orf50	7p22.3	Yashin et al. (2012)
300	Significant (study details)	American (Caucasian)	CACNA1C	12p13.33	Yashin et al. (2012)
